metabolite,P1,P2,P3,P4,P8,P9,P12,P13,P16,P17,P20,P21,P22,P23,P26,P27,P28,P29,P30,P32,P33,P34,P5,P6,P7,P10,P11,P14,P15,P18,P24,P25,P31
1-Methyl-Histidine,-1.94623531,1.01096175,2.27420593,-0.66207067,0.7670713,-1.10527522,-0.42457935,0.66845346,-0.53425029,-0.55299167,-0.24299965,-0.30925623,-0.47126977,1.17168138,-1.68199017,-0.22545918,-1.17154616,-0.14629659,0.35431962,0.31049509,-0.62290983,-0.36707217,0.48652792,-0.10801483,-0.21653417,2.02985419,-0.04576673,0.97832812,0.80401852,-0.18215004,0.64732834,1.36783154,-1.85440913
"2,3-dihydroxybenzoic acid",-1.05487405,-0.72662866,-0.8794907,-0.86682362,0.53300906,0.16889634,-0.07275922,0.19788425,-0.27740495,0.08939232,-0.11044383,0.34374373,-0.43914324,0.81394671,2.18016366,0.29389062,-2.14192758,0.22601457,-1.62311149,0.20251094,0.22196906,-0.21466768,-1.21236318,-0.06536107,-0.44107924,-0.2766264,0.14193163,0.33136503,0.60167992,0.02732317,0.30766818,0.14299714,3.57831857
2-Aminooctanoic acid,-1.586184483,-1.062783919,1.527524088,0.782622272,-2.133556429,-0.012849139,0.841721199,0.922066559,0.162936593,-0.746508551,-0.274960386,-2.67846016,0.797300067,0.268062925,0.426501213,-0.149821745,-0.893810268,1.094548813,0.67146621,0.963707322,0.390737399,-0.094271325,0.23563472,0.079976662,1.748587661,0.008124301,0.001617184,0.003314586,-0.754824034,-0.004019843,1.285063958,-1.005229385,-0.814234066
2-dehydro-D-gluconate,0.06510374,-0.89360752,0.61191566,-2.09355196,0.78778433,-1.34735567,-0.08370782,0.32094624,1.94903497,0.02048138,0.1586511,-0.24328265,0.23989138,0.01172184,0.44757275,0.84246897,-0.72206786,-0.70269508,0.38511205,-0.6683358,1.54510144,0.31906649,-1.04246127,-0.54463272,-2.2527725,0.36152704,0.81817897,-1.04944078,1.03286817,0.18621554,-0.05275706,2.2474367,-0.65441005
2-deoxyglucose-6-phosphate,0.61599935,1.01338486,0.80345758,0.59728706,-1.39938416,-0.04619845,-0.11313751,-1.06977879,-0.28229227,1.38864911,-2.26839991,0.46337231,-1.58705442,0.5390305,-2.23187919,-0.29267,-0.35839401,0.77655804,0.95225214,1.12661425,0.63308025,1.17773643,0.90159171,0.04021519,-0.85228542,-0.18969396,-0.77986214,-0.99294048,0.21340373,-0.09079993,1.46928414,0.67566483,-0.83281084
2-Hydroxy-2-methylbutanedioic acid,0.92936675,1.98418599,1.31388995,-0.45355694,-0.18209899,-0.04262234,-1.07238023,0.54846564,-0.39721714,1.10366714,-0.40562449,-1.08175478,-1.87188355,-0.37357211,-0.54135212,-0.03038316,-0.30518372,0.23510997,1.54885649,-1.50617512,1.27565931,0.02858911,1.08581306,-1.29381346,-1.82424408,-0.75768408,-0.36789204,0.49077743,0.97725764,1.55010999,-0.24246,0.05094953,-0.37279964
2-hydroxygluterate,-0.44419335,0.44956155,-0.57950661,-0.72232576,0.0767752,-0.43309488,-0.15551668,0.5484799,-0.77276448,1.55725162,-0.90749641,0.63661962,-1.56308226,-0.14597249,-2.18550944,-0.40497378,-1.05302756,-0.30433861,1.42018281,-0.96881962,2.28275781,-0.11261112,-0.18466673,-0.97297338,-0.09548944,-0.06252108,0.49008003,1.57167139,1.09951127,1.44576482,1.25513483,0.01542597,-0.78033314
2-Isopropylmalic acid,-1.41928864,0.89395775,0.66022411,-0.77903314,0.47686266,-0.67800539,-0.17359752,-0.95666569,2.1384464,0.01866913,-0.18324463,-0.40133373,-2.2880638,-0.61469808,0.67389718,-0.19744591,-1.29063828,-0.34491697,-1.41018432,-0.79930691,-0.15664153,-0.38867002,0.527608,0.55404143,0.43425243,2.57608674,-0.08086768,0.57433864,0.86107707,-0.03235185,1.533648,0.42848606,-0.15664153
2-ketohexanoic acid,-0.161869523,-0.485793135,-0.254751827,-0.221954463,-0.252180838,0.009568193,1.116645211,0.308720925,-1.990275447,-0.737937525,-0.464651708,1.98096468,-0.716044727,0.695635273,-0.488018993,-1.653754403,0.933584358,-1.621839743,-0.772326619,-1.305541242,0.315702915,0.29642509,-0.097311024,2.230304104,-1.121540762,0.972432835,-0.266858161,0.193106064,1.714804125,0.032269025,0.294586625,1.019413655,0.498487063
2-keto-isovalerate,0.58245372,1.17624407,0.61612722,1.06258668,1.10860643,0.30280516,0.29784916,0.11443678,-0.76114982,0.43353495,0.03504152,2.25639656,-0.7777954,0.7916227,-2.29435584,-0.76120924,-0.77568389,-1.84541758,-0.43736181,-0.53390414,1.00054794,-0.33393593,0.58359854,1.03408487,-0.58659971,-0.7777954,-1.01960538,-0.69859581,0.86182459,-0.01534716,1.22212425,-1.62328022,-0.23784781
