metabolite,R382,R421,R424,R432,R441,R475,R82,R98,R329,R100,R12,R148,R223,R272,R285,R341,R352,R362,R422,R458,R453,R476,R484,R486,R488,R440,R437,R471,R478,R374,R463,R284,R349,R417,R8,R92,R116,R117,R180,R210,R224,R239,R386,R413,R404,R419,R477,R490
1-Methyladenosine,-2.06210946,0.1153591,-0.58388061,-0.58970272,-0.40901625,-0.98797203,0.47000922,0.82180299,0.71574602,0.09444314,1.27066182,0.4996502,-2.47991393,0.59838651,-0.75693469,0.3721074,-0.88899133,-1.84814607,0.51739342,0.02599269,-0.32479636,0.98022374,1.08940839,-0.71169675,1.15580886,-2.53570534,-0.84772611,0.3789864,1.07615201,0.11896292,0.09714685,-0.18600889,1.91628204,-0.27223353,-0.06037519,0.32741438,-0.25613592,-0.50289066,-0.68102924,-0.40424414,-1.0132512,0.58966541,0.2889392,1.07697348,0.41953231,0.42600663,2.24306259,0.71664266
2-Aminooctanoic acid,0.253461294,-0.976146941,-0.557110264,1.061699071,-0.145392403,2.248139703,-1.874269291,0.612006594,1.296566199,0.640478522,-0.209596295,0.212612324,2.503581061,-0.321606758,0.151004673,0.656154407,0.193050677,-0.45832646,-0.014907301,-2.980453078,-0.456758713,0.641047899,-1.409545309,-0.208187682,0.116644916,-0.19869591,-0.935138329,-0.088165443,-0.469910307,-0.004295422,-1.069376385,2.223888278,-1.315561427,1.094147328,-1.233516612,0.943656261,0.105549166,0.070889625,0.369786715,0.642956338,-0.215148451,0.266837554,0.062394235,-0.008009712,0.47221545,-0.385417161,-0.262207167,-1.041025466
2-dehydro-D-gluconate,1.8538719,-1.11134073,-1.59518128,0.32485122,-0.64270306,0.55628401,-2.73652673,0.64545549,-1.35404172,1.98162955,-0.32321093,-0.61530902,0.54239484,-0.15591766,0.04860643,-0.24425791,1.08611362,0.36739353,-0.57553379,-0.27693546,0.12485721,0.75415861,-0.87915728,-0.4554211,0.45645769,0.81256576,-0.0349742,0.29927169,1.08640484,0.6562345,-1.29454947,0.06022339,2.45129254,0.01817975,0.12821713,0.08766846,-0.18960604,-0.25159612,1.22963988,-1.08936585,0.01185929,-0.11581739,-0.08579329,-1.53912953,-0.31880251,1.7014593,0.21974942,-1.61966899
2-deoxyglucose-6-phosphate,-0.548065554,1.204895735,-0.255758178,1.115385441,1.471110293,0.004933492,-1.12650063,-0.278724948,-0.156616482,-0.444286582,1.623573055,-1.600075034,-0.879174437,-0.121308683,-1.253742248,0.610382771,0.006957406,-0.775575498,0.079587182,-0.296030315,1.352270752,-1.227653106,0.846673375,-0.151851201,-0.007804687,0.05785491,-1.027844206,-0.275706346,0.656424609,0.88845208,0.23132312,0.320073558,-0.08967832,0.091625024,1.139237505,0.294456744,1.002303981,0.592793013,0.639541569,-0.061089671,-0.422763176,1.176456731,0.148634687,0.452232404,-4.287209853,0.166921323,0.342068663,-1.228710263
2-Hydroxy-2-methylbutanedioic acid,-0.40258491,0.53300295,1.53924992,-1.7603309,-0.71075984,0.64078073,-0.3074834,0.35983842,-0.5757327,-0.39098106,0.51184653,-1.36526082,-0.68599207,-1.10853191,0.20841419,-0.77897028,0.98945788,0.35805811,-0.59016413,1.25137026,1.04641779,-0.87378563,-0.12762303,-1.06490739,-0.01319868,0.03530664,-0.6801404,-2.11355277,0.82934843,-0.91585883,-0.64000348,0.58214509,1.59742544,0.75468062,-0.07797799,1.18080975,0.68870617,0.3511442,0.26724015,-0.56874245,-1.81228868,0.56663779,-1.5170136,0.36942682,0.85127339,-0.5513139,1.47991239,2.6407052
2-hydroxygluterate,0.348704064,0.596585084,1.557522379,0.320081367,-1.323220905,0.538091389,0.111436965,0.123979177,-0.272991684,-1.802791466,-0.821132662,-1.497407149,-1.38272027,1.530293302,-0.575735814,-1.225299709,0.284354472,1.227534352,2.202152632,1.115040712,0.442916906,-0.71532922,-0.951767603,-0.904091451,0.525156433,-0.472763835,-0.118231523,0.25418528,1.895315811,-1.217998943,-1.182524821,-1.373449738,1.013450822,-0.006483332,-0.621898049,-0.237008343,0.689702807,-0.635171187,0.088612825,-1.067325532,0.702106117,-0.24690099,-0.464827406,-0.022692209,1.323474008,0.114965634,0.008836335,2.125264969
2-Isopropylmalic acid,-0.857787952,-0.822780009,-0.824272389,-0.978852615,-0.778161508,-0.329794611,-0.375199371,-0.497273917,1.069259178,-0.692755402,-0.494643267,-0.058037362,2.180112319,-0.625231399,-1.058500648,1.86073424,-0.67562037,1.759289073,-0.427269753,0.006556127,-0.753469928,-0.433998468,1.143884176,-0.532739169,-0.572009311,-0.145313187,0.01074439,-0.657307109,-0.58463718,-0.556826156,1.904294341,-0.403817587,-0.666574214,-0.238435242,-0.537001249,-0.998616758,-0.182929409,2.065443929,-0.411158306,0.03918703,-0.296538489,-0.599179106,1.530822786,-0.821749062,2.313776616,-0.05265058,1.839679768,1.21734711
2-ketohexanoic acid,-0.41388047,1.26404052,2.16207596,-1.36850297,-0.80355472,0.6403379,0.24825664,0.72403308,0.77981427,-0.59943243,-0.48207426,0.62457072,0.10044077,-0.37940294,0.38651144,-0.44065163,0.99313613,-0.90974881,1.64084307,0.20277777,-0.84185639,1.12185854,-0.19690328,-0.14532554,1.53121039,1.37030729,0.27908419,0.28755231,-0.24975594,0.91144234,-1.02177547,-0.76027361,-0.97067572,1.117646,-0.44383659,-0.50991452,-1.39967495,-0.24539002,-2.65075147,1.22026697,0.04757577,-1.06845053,-1.04942517,0.26739809,1.09479713,-0.51284706,0.51172715,-2.06359993
2-keto-isovalerate,-0.009630547,-0.725149428,1.25672005,-0.189772948,-1.619335522,2.437422722,0.058241841,0.231587319,-0.046155679,1.012306961,-0.163038223,-0.48989641,1.372805463,-0.841773634,-0.202871067,0.435539076,-0.87029807,0.082203371,-0.378186288,0.393358304,0.318236029,-0.303993804,-1.211393678,-1.021019265,0.082203371,0.930205102,1.75273568,-1.793455755,0.128613172,0.082203371,1.781630353,-0.600173085,0.044210336,-1.769249447,-1.276473836,0.276212025,-0.002783897,0.773368137,-1.521267224,1.048824754,0.312163102,0.11203616,1.830014359,-2.172501762,0.630289923,0.163945887,0.082203371,-0.420860668
2-oxo-4-methylthiobutanoate,-0.27359065,-0.63236661,-1.93217074,0.96687345,0.27125729,0.92609744,-0.47829713,1.05517246,-0.21661557,0.89753322,-0.08511112,0.70789088,1.0089411,-0.02003439,-1.18937221,1.51436088,0.01421764,1.54299498,0.17387515,-1.17585221,0.11632833,0.21566853,1.39071655,-0.53274303,0.81286912,-0.72046396,0.69115694,-0.0277633,-3.39233118,-0.69473209,1.10657335,-1.92469846,-1.35449075,0.50341772,-0.4665424,-0.40960014,-0.22300214,0.82532634,0.94774493,0.29201324,-0.79008905,-0.84501626,0.63038239,0.80190886,-0.83634996,0.78582482,0.70497837,-0.68289064
